scene_index,scene_name,scene_duration,start_time,end_time
1,scene_001,16.24,0.0,16.24
2,scene_002,5.28,16.28,21.56
3,scene_003,2.04,21.6,23.64
4,scene_004,9.6,23.68,33.28
5,scene_005,5.4,33.32,38.72
6,scene_006,21.88,38.76,60.64
7,scene_007,9.32,60.68,70.0
8,scene_008,7.32,70.04,77.36
9,scene_009,2.64,77.4,80.04
10,scene_010,14.52,80.08,94.6
11,scene_011,25.12,94.64,119.76
12,scene_012,5.44,119.8,125.24
13,scene_013,12.8,125.28,138.08
14,scene_014,8.6,138.12,146.72
15,scene_015,7.28,146.76,154.04
16,scene_016,37.56,154.08,191.64
17,scene_017,23.12,191.68,214.8
18,scene_018,15.664,214.84,230.504
